Time,Consuming Time(ms),Producing Time(ms),Response time(ms),Message Size(bytes),CPU Utilization(%),Memory Consumption(mb),Disk Free Space(gb),Brick Space,Kafka Total Space(mb),Topic Space(mb),Total Time (sec)
7:02:42,9.730084,8.002083,51.067395,14688,1.81,1.462,4.9,66,392,0.53,1
7:02:46,10.838238,8.933782,118.36668,62208,1.62,1.464,4.9,66,392,0.79,5
7:02:50,10.488813,9.170292,182.266503,62208,1.57,1.464,4.9,66,392,0.104,9
7:02:54,9.791202,7.884235,231.460369,58752,1.56,1.464,4.9,66,392,0.129,13
7:02:58,10.438656,8.45871,292.140234,58752,1.64,1.464,4.9,67,392,0.154,17
7:03:02,10.954551,9.248943,373.158249,31104,1.78,1.464,4.9,67,392,0.179,19
7:03:06,11.641328,9.145943,436.750293,62208,1.85,1.464,4.9,67,392,0.204,23
7:03:10,10.431683,8.628092,472.685352,58752,1.62,1.464,4.9,67,392,0.237,27
7:03:14,11.43349,9.079189,563.79433,62208,1.34,1.464,4.9,67,392,0.262,31
7:03:18,11.4749,8.801711,627.066653,62208,1.51,1.464,4.9,67,392,0.287,35
7:03:22,11.181984,8.279,652.420503,58752,1.55,1.464,4.9,67,392,0.312,39
7:03:26,11.988721,8.516602,712.894095,58752,1.56,1.464,4.9,67,392,0.337,43
7:03:30,12.173139,8.558053,773.33363,58752,1.51,1.464,4.9,67,392,0.362,47
7:03:34,12.277255,8.479586,833.014038,58752,1.42,1.463,4.9,67,392,0.387,51
7:03:38,13.915976,9.548918,998.380293,65664,1.47,1.463,4.9,67,392,0.412,55
7:03:42,12.645534,8.899452,954.1357,58752,1.63,1.464,4.9,67,392,0.436,59
7:03:46,12.804302,8.254243,1013.309343,58752,1.57,1.464,4.9,67,392,0.461,63
7:03:50,13.463199,9.204377,1137.168009,62208,1.53,1.464,4.9,67,392,0.487,67
7:03:54,4.088327,8.430816,1134.056045,58752,1.52,1.464,4.9,67,392,0.512,71
7:03:58,4.785788,8.650391,1264.002245,62208,1.78,1.464,4.9,67,392,0.537,75
7:04:02,4.911927,8.644113,1254.720238,29376,1.57,1.464,4.9,67,392,0.562,77
7:04:06,4.584675,8.413499,1315.653053,58752,1.65,1.464,4.9,67,392,0.587,81
7:04:10,5.777441,9.025561,1456.212817,62208,1.81,1.464,4.9,67,392,0.613,85
7:04:14,4.922687,8.289764,1435.091965,58752,1.61,1.464,4.9,67,392,0.639,89
7:04:18,5.045294,8.498779,1495.576298,58752,1.68,1.464,4.9,67,392,0.664,93
7:04:22,5.195034,8.490705,1555.779962,58752,1.67,1.464,4.9,67,392,0.689,97
7:04:26,5.321686,8.866459,1616.292654,58752,1.79,1.464,4.9,67,392,0.714,101
7:04:30,5.974074,8.495039,1676.373748,58752,1.66,1.464,4.9,67,392,0.739,105
7:04:34,5.667874,8.785837,1737.449319,58752,1.54,1.464,4.9,67,392,0.764,109
7:04:38,6.313956,8.489423,1797.106947,58752,1.75,1.464,4.9,68,392,0.789,113
7:04:42,6.619793,8.992458,1966.821723,62208,1.69,1.464,4.9,68,392,0.815,117
7:04:46,6.658704,8.91105,1917.487107,58752,1.69,1.464,4.9,68,392,0.841,121
7:04:50,7.310467,8.838208,1977.088744,58752,1.53,1.464,4.9,68,392,0.866,125
7:04:54,6.97671,8.201604,2036.967396,58752,1.44,1.464,4.9,68,392,0.89,129
7:04:58,7.150935,8.376626,2097.227232,58752,1.71,1.464,4.9,68,392,0.914,133
7:05:02,6.780458,8.093874,2156.390797,29376,1.55,1.464,4.9,68,392,0.939,135
7:05:06,7.619382,9.086544,2347.247412,62208,1.59,1.464,4.9,68,392,0.965,139
7:05:10,7.82454,9.31663,2411.575116,62208,1.62,1.464,4.9,68,392,0.99,143
7:05:14,7.101627,7.834021,2200.174216,55296,1.48,1.464,4.9,68,392,1.01,147
7:05:18,7.453566,8.196222,2396.922402,58752,1.57,1.464,4.9,68,392,1.1,151
7:05:22,7.632965,8.77975,2458.486233,58752,1.48,1.464,4.9,68,392,1.1,155
7:05:26,8.494228,8.990484,2666.722092,62208,1.71,1.464,4.9,68,393,1.1,159
7:05:30,7.161123,8.096957,2427.270902,55296,1.78,1.464,4.9,68,393,1.1,163
7:05:34,8.090408,8.262681,2638.890406,58752,1.78,1.464,4.9,68,393,1.2,167
7:05:38,8.983066,9.308976,2857.952852,62208,1.72,1.464,4.9,68,393,1.2,171
7:05:42,8.367264,8.67111,2759.142609,58752,1.51,1.464,4.9,68,393,1.2,175
7:05:46,8.556661,8.024905,2818.230619,58752,1.96,1.464,4.9,68,393,1.2,179
7:05:50,7.930249,8.185272,2709.874685,55296,1.6,1.464,4.9,68,393,1.3,183
7:05:54,8.857866,8.280843,2938.743337,58752,1.59,1.464,4.9,68,393,1.3,187
7:05:58,9.014202,8.476648,2999.249288,58752,2,1.464,4.9,68,393,1.3,191
7:06:02,9.656431,8.760847,3060.272379,29376,1.64,1.464,4.9,68,393,1.3,193
7:06:06,10.119748,9.266741,3304.48194,62208,1.91,1.464,4.9,68,393,1.4,197
7:06:10,9.434672,8.393546,3180.722521,58752,1.79,1.464,4.9,68,393,1.4,201
7:06:14,9.092684,8.627029,3240.308441,58752,1.87,1.464,4.9,68,393,1.4,205
7:06:18,10.643106,8.834033,3494.6415,62208,1.68,1.464,4.9,68,393,1.4,209
7:06:22,10.020826,8.398633,3360.501146,58752,1.85,1.463,4.9,68,393,1.5,213
7:06:26,10.701502,8.929875,3421.010921,58752,1.76,1.464,4.9,68,393,1.5,217
7:06:30,9.47218,7.774319,3275.456957,55296,2.27,1.464,4.9,68,393,1.5,221
7:06:34,11.366954,9.188946,3749.554094,62208,1.6,1.463,4.9,68,393,1.5,225
7:06:38,10.617659,8.687362,3601.727189,58752,1.58,1.464,4.9,68,393,1.6,229
7:06:42,10.781396,8.595984,3661.916801,58752,1.68,1.464,4.9,68,393,1.6,233
7:06:46,11.397724,8.690875,3721.501684,58752,1.66,1.464,4.9,68,393,1.6,237
7:06:50,11.068444,8.651035,3781.751103,58752,1.57,1.464,4.9,68,393,1.6,241
7:06:54,11.214874,8.457615,3841.764128,58752,1.55,1.464,4.9,68,393,1.7,245
7:06:58,11.406465,8.764339,3901.875977,58752,1.64,1.464,4.9,68,393,1.7,249
7:07:02,11.53449,8.899229,3961.94503,29376,1.63,1.464,4.9,68,393,1.7,251
