CPU_Utilization Memory_Consumption Current_Time Disk_Space(mb) Brick_Space(mb) Kafka_Disk_Usage(mb) Topic_Disk_Usage(mb) Heketi_Space(mb)
1.81 1.462 07:02:42 4.9 66 392 .53 33
1.62 1.464 07:02:46 4.9 66 392 .79 33
1.57 1.464 07:02:50 4.9 66 392 .104 33
1.56 1.464 07:02:54 4.9 66 392 .129 33
1.64 1.464 07:02:58 4.9 67 392 .154 33
1.78 1.464 07:03:02 4.9 67 392 .179 33
1.85 1.464 07:03:06 4.9 67 392 .204 33
1.62 1.464 07:03:10 4.9 67 392 .237 33
1.34 1.464 07:03:14 4.9 67 392 .262 33
1.51 1.464 07:03:18 4.9 67 392 .287 33
1.55 1.464 07:03:22 4.9 67 392 .312 33
1.56 1.464 07:03:26 4.9 67 392 .337 33
1.51 1.464 07:03:30 4.9 67 392 .362 33
1.42 1.463 07:03:34 4.9 67 392 .387 33
1.47 1.463 07:03:38 4.9 67 392 .412 33
1.63 1.464 07:03:42 4.9 67 392 .436 33
1.57 1.464 07:03:46 4.9 67 392 .461 33
1.53 1.464 07:03:50 4.9 67 392 .487 33
1.52 1.464 07:03:54 4.9 67 392 .512 33
1.78 1.464 07:03:58 4.9 67 392 .537 33
1.57 1.464 07:04:02 4.9 67 392 .562 33
1.65 1.464 07:04:06 4.9 67 392 .587 33
1.81 1.464 07:04:10 4.9 67 392 .613 33
1.61 1.464 07:04:14 4.9 67 392 .639 33
1.68 1.464 07:04:18 4.9 67 392 .664 33
1.67 1.464 07:04:22 4.9 67 392 .689 33
1.79 1.464 07:04:26 4.9 67 392 .714 33
1.66 1.464 07:04:30 4.9 67 392 .739 33
1.54 1.464 07:04:34 4.9 67 392 .764 33
1.75 1.464 07:04:38 4.9 68 392 .789 33
1.69 1.464 07:04:42 4.9 68 392 .815 33
1.69 1.464 07:04:46 4.9 68 392 .841 33
1.53 1.464 07:04:50 4.9 68 392 .866 33
1.44 1.464 07:04:54 4.9 68 392 .890 33
1.71 1.464 07:04:58 4.9 68 392 .914 33
1.55 1.464 07:05:02 4.9 68 392 .939 33
1.59 1.464 07:05:06 4.9 68 392 .965 33
1.62 1.464 07:05:10 4.9 68 392 .990 33
1.48 1.464 07:05:14 4.9 68 392 1.01 33
1.57 1.464 07:05:18 4.9 68 392 1.1 33
1.48 1.464 07:05:22 4.9 68 392 1.1 33
1.71 1.464 07:05:26 4.9 68 393 1.1 33
1.78 1.464 07:05:30 4.9 68 393 1.1 33
1.78 1.464 07:05:34 4.9 68 393 1.2 33
1.72 1.464 07:05:38 4.9 68 393 1.2 33
1.51 1.464 07:05:42 4.9 68 393 1.2 33
1.96 1.464 07:05:46 4.9 68 393 1.2 33
1.60 1.464 07:05:50 4.9 68 393 1.3 33
1.59 1.464 07:05:54 4.9 68 393 1.3 33
2.00 1.464 07:05:58 4.9 68 393 1.3 33
1.64 1.464 07:06:02 4.9 68 393 1.3 33
1.91 1.464 07:06:06 4.9 68 393 1.4 33
1.79 1.464 07:06:10 4.9 68 393 1.4 33
1.87 1.464 07:06:14 4.9 68 393 1.4 33
1.68 1.464 07:06:18 4.9 68 393 1.4 33
1.85 1.463 07:06:22 4.9 68 393 1.5 33
1.76 1.464 07:06:26 4.9 68 393 1.5 33
2.27 1.464 07:06:30 4.9 68 393 1.5 33
1.60 1.463 07:06:34 4.9 68 393 1.5 33
1.58 1.464 07:06:38 4.9 68 393 1.6 33
1.68 1.464 07:06:42 4.9 68 393 1.6 33
1.66 1.464 07:06:46 4.9 68 393 1.6 33
1.57 1.464 07:06:50 4.9 68 393 1.6 33
1.55 1.464 07:06:54 4.9 68 393 1.7 33
1.64 1.464 07:06:58 4.9 68 393 1.7 33
1.63 1.464 07:07:02 4.9 68 393 1.7 33
1.68 1.464 07:07:06 4.9 68 393 1.7 33
1.60 1.464 07:07:10 4.9 68 393 1.7 33
1.51 1.463 07:07:14 4.9 68 393 1.8 33
1.54 1.463 07:07:18 4.9 68 393 1.8 33
1.60 1.464 07:07:22 4.9 68 393 1.8 33
1.89 1.464 07:07:26 4.9 70 393 1.8 33
1.71 1.464 07:07:30 4.9 70 393 1.9 33
1.44 1.464 07:07:34 4.9 70 393 1.9 33
1.57 1.464 07:07:38 4.9 70 393 1.9 33
1.56 1.464 07:07:42 4.9 70 393 1.9 33
1.60 1.463 07:07:46 4.9 70 393 2.0 33
1.65 1.464 07:07:50 4.9 70 393 2.0 33
1.43 1.464 07:07:54 4.9 70 393 2.0 33
1.50 1.464 07:07:58 4.9 70 393 2.0 33
1.63 1.464 07:08:02 4.9 70 393 2.1 33
1.70 1.464 07:08:06 4.9 70 393 2.1 33
1.75 1.464 07:08:10 4.9 70 394 2.1 33
1.53 1.464 07:08:14 4.9 70 394 2.1 33
1.51 1.464 07:08:18 4.9 70 394 2.2 33
1.63 1.464 07:08:22 4.9 70 394 2.2 33
1.62 1.464 07:08:26 4.9 70 394 2.2 33
1.61 1.464 07:08:30 4.9 70 394 2.2 33
1.51 1.464 07:08:34 4.9 70 394 2.3 33
1.49 1.464 07:08:38 4.9 70 394 2.3 33
1.50 1.464 07:08:42 4.9 70 394 2.3 33
1.72 1.464 07:08:46 4.9 70 394 2.3 33
1.71 1.464 07:08:50 4.9 70 394 2.4 33
1.46 1.464 07:08:54 4.9 70 394 2.4 33
1.59 1.464 07:08:58 4.9 70 394 2.4 33
1.74 1.464 07:09:02 4.9 70 394 2.4 33
1.69 1.464 07:09:06 4.9 70 394 2.5 33
1.86 1.464 07:09:10 4.9 70 394 2.5 33
1.61 1.464 07:09:14 4.9 70 394 2.5 33
1.74 1.464 07:09:18 4.9 70 394 2.5 33
1.62 1.464 07:09:22 4.9 70 394 2.6 33
1.65 1.464 07:09:26 4.9 70 394 2.6 33
1.79 1.464 07:09:30 4.9 70 394 2.6 33
1.52 1.464 07:09:34 4.9 70 394 2.6 33
1.54 1.464 07:09:38 4.9 70 394 2.7 33
1.66 1.464 07:09:42 4.9 70 394 2.7 33
1.57 1.464 07:09:46 4.9 70 394 2.7 33
1.83 1.464 07:09:50 4.9 70 394 2.7 33
1.75 1.464 07:09:54 4.9 70 394 2.8 33
1.66 1.464 07:09:58 4.9 70 394 2.8 33
1.97 1.464 07:10:02 4.9 70 394 2.8 33
1.76 1.464 07:10:06 4.9 70 394 2.8 33
1.62 1.464 07:10:10 4.9 70 394 2.8 33
1.86 1.464 07:10:14 4.9 70 394 2.9 33
1.52 1.464 07:10:18 4.9 70 394 2.9 33
1.66 1.464 07:10:22 4.9 70 394 2.9 33
1.64 1.464 07:10:26 4.9 70 394 2.9 33
1.90 1.464 07:10:30 4.9 70 394 3.0 33
2.26 1.464 07:10:34 4.9 70 394 3.0 33
1.57 1.464 07:10:38 4.9 70 394 3.0 33
1.62 1.464 07:10:42 4.9 70 394 3.0 33
1.72 1.464 07:10:46 4.9 70 394 3.1 33
1.82 1.464 07:10:50 4.9 70 394 3.1 33
1.52 1.464 07:10:54 4.9 70 395 3.1 33
1.67 1.464 07:10:58 4.9 70 395 3.1 33
1.77 1.464 07:11:02 4.9 70 395 3.2 33
1.55 1.464 07:11:06 4.9 70 395 3.2 33
1.64 1.464 07:11:10 4.9 70 395 3.2 33
1.52 1.464 07:11:14 4.9 70 395 3.2 33
1.50 1.464 07:11:18 4.9 70 395 3.3 33
1.71 1.463 07:11:22 4.9 70 395 3.3 33
1.55 1.464 07:11:26 4.9 70 395 3.3 33
1.78 1.464 07:11:30 4.9 70 395 3.3 33
1.44 1.464 07:11:34 4.9 70 395 3.4 33
1.50 1.464 07:11:38 4.9 70 395 3.4 33
1.82 1.464 07:11:42 4.9 70 395 3.4 33
1.52 1.464 07:11:46 4.9 70 395 3.4 33
1.71 1.464 07:11:50 4.9 70 395 3.5 33
1.48 1.464 07:11:54 4.9 70 395 3.5 33
1.61 1.464 07:11:58 4.9 70 395 3.5 33
1.70 1.464 07:12:02 4.9 70 395 3.5 33
1.82 1.464 07:12:06 4.9 70 395 3.6 33
1.65 1.463 07:12:10 4.9 70 395 3.6 33
1.53 1.464 07:12:14 4.9 70 395 3.6 33
1.57 1.464 07:12:18 4.9 70 395 3.6 33
